2026-08-28 21:14:25 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:15:03 — INFO — GET / — 127.0.0.1
2026-08-28 21:15:03 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:15:03 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:15:03 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:18:14 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 21:18:14 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:18:14 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:18:14 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:18:14 — INFO — GET /static/images/case-reclamation.svg — 127.0.0.1
2026-08-28 21:18:14 — INFO — GET /static/images/case-hr.svg — 127.0.0.1
2026-08-28 21:18:14 — INFO — GET /static/images/case-bond.svg — 127.0.0.1
2026-08-28 21:18:14 — INFO — GET /static/images/case-smm.svg — 127.0.0.1
2026-08-28 21:18:14 — INFO — GET /static/images/case-orderhunter.svg — 127.0.0.1
2026-08-28 21:18:21 — INFO — GET /cases/reclamation-rag-bot/ — 127.0.0.1
2026-08-28 21:18:21 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:18:21 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:18:21 — INFO — GET /static/images/case-reclamation.svg — 127.0.0.1
2026-08-28 21:18:21 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:18:59 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 21:18:59 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:18:59 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:18:59 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:18:59 — INFO — GET /static/images/case-reclamation.svg — 127.0.0.1
2026-08-28 21:18:59 — INFO — GET /static/images/case-hr.svg — 127.0.0.1
2026-08-28 21:18:59 — INFO — GET /static/images/case-smm.svg — 127.0.0.1
2026-08-28 21:18:59 — INFO — GET /static/images/case-bond.svg — 127.0.0.1
2026-08-28 21:18:59 — INFO — GET /static/images/case-orderhunter.svg — 127.0.0.1
2026-08-28 21:19:21 — INFO — GET /cases/orderhunter/ — 127.0.0.1
2026-08-28 21:19:21 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:19:21 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:19:21 — INFO — GET /static/images/case-orderhunter.svg — 127.0.0.1
2026-08-28 21:19:21 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:19:52 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 21:19:52 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:19:52 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:19:52 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:19:52 — INFO — GET /static/images/case-reclamation.svg — 127.0.0.1
2026-08-28 21:19:52 — INFO — GET /static/images/case-hr.svg — 127.0.0.1
2026-08-28 21:19:52 — INFO — GET /static/images/case-smm.svg — 127.0.0.1
2026-08-28 21:19:52 — INFO — GET /static/images/case-bond.svg — 127.0.0.1
2026-08-28 21:19:52 — INFO — GET /static/images/case-orderhunter.svg — 127.0.0.1
2026-08-28 21:19:55 — INFO — GET /cases/reclamation-rag-bot/ — 127.0.0.1
2026-08-28 21:19:56 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:19:56 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:19:56 — INFO — GET /static/images/case-reclamation.svg — 127.0.0.1
2026-08-28 21:19:56 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:30:25 — INFO — GET /cases/reclamation-rag-bot/ — 127.0.0.1
2026-08-28 21:30:25 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:30:25 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:30:25 — INFO — GET /static/images/case-reclamation.svg — 127.0.0.1
2026-08-28 21:30:25 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:31:55 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 21:31:55 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:31:55 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:31:55 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:31:55 — INFO — GET /static/images/case-reclamation.svg — 127.0.0.1
2026-08-28 21:31:55 — INFO — GET /static/images/case-hr.svg — 127.0.0.1
2026-08-28 21:31:55 — INFO — GET /static/images/case-smm.svg — 127.0.0.1
2026-08-28 21:31:55 — INFO — GET /static/images/case-bond.svg — 127.0.0.1
2026-08-28 21:31:55 — INFO — GET /static/images/case-orderhunter.svg — 127.0.0.1
2026-08-28 21:34:47 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 21:36:53 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 21:37:04 — INFO — GET / — 127.0.0.1
2026-08-28 21:37:04 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 21:37:04 — INFO — GET /about/ — 127.0.0.1
2026-08-28 21:37:04 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 21:38:00 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 21:38:01 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:38:01 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:38:01 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:38:01 — INFO — GET /static/images/case-reclamation.svg — 127.0.0.1
2026-08-28 21:38:01 — INFO — GET /static/images/case-hr.svg — 127.0.0.1
2026-08-28 21:38:01 — INFO — GET /static/images/case-smm.svg — 127.0.0.1
2026-08-28 21:38:01 — INFO — GET /static/images/case-bond.svg — 127.0.0.1
2026-08-28 21:38:01 — INFO — GET /static/images/case-orderhunter.svg — 127.0.0.1
2026-08-28 21:38:01 — INFO — GET /static/images/favicon.png — 127.0.0.1
2026-08-28 21:38:01 — INFO — GET /static/images/apple-touch-icon.png — 127.0.0.1
2026-08-28 21:41:22 — INFO — GET / — 127.0.0.1
2026-08-28 21:41:22 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:42:20 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 21:42:20 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:42:20 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:42:20 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:42:20 — INFO — GET /static/images/case-reclamation.svg — 127.0.0.1
2026-08-28 21:42:20 — INFO — GET /static/images/case-hr.svg — 127.0.0.1
2026-08-28 21:42:20 — INFO — GET /static/images/case-smm.svg — 127.0.0.1
2026-08-28 21:42:20 — INFO — GET /static/images/case-bond.svg — 127.0.0.1
2026-08-28 21:42:20 — INFO — GET /static/images/case-orderhunter.svg — 127.0.0.1
2026-08-28 21:42:20 — INFO — GET /static/images/favicon.png — 127.0.0.1
2026-08-28 21:42:20 — INFO — GET /static/images/apple-touch-icon.png — 127.0.0.1
2026-08-28 21:42:29 — INFO — GET / — 127.0.0.1
2026-08-28 21:42:29 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:42:29 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:42:29 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:47:37 — INFO — GET / — 127.0.0.1
2026-08-28 21:47:37 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:47:37 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:48:24 — INFO — GET / — 127.0.0.1
2026-08-28 21:48:24 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:49:23 — INFO — GET / — 127.0.0.1
2026-08-28 21:49:23 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:49:23 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:49:23 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:49:23 — INFO — GET /static/images/favicon.png — 127.0.0.1
